Time: 2026-03-18 14:45:02.156531, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-18 15:00:01.473643, Current moisture: 12.0, Raw moisture: 91, Watered: no
Time: 2026-03-18 15:15:01.818802, Current moisture: 2.3, Raw moisture: 3, Watered: yes
Time: 2026-03-18 15:30:02.166280, Current moisture: 1.9, Raw moisture: 2, Watered: yes
Time: 2026-03-18 15:45:01.482812, Current moisture: 2.8, Raw moisture: 4, Watered: yes
Time: 2026-03-18 16:00:01.802356, Current moisture: 3.2, Raw moisture: 5, Watered: yes
Time: 2026-03-18 16:15:02.115371, Current moisture: 5.0, Raw moisture: 9, Watered: yes
Time: 2026-03-18 16:30:01.465866, Current moisture: 12.0, Raw moisture: 76, Watered: no
Time: 2026-03-18 16:45:01.806407, Current moisture: 12.0, Raw moisture: 51, Watered: no
Time: 2026-03-18 17:00:02.140483, Current moisture: 12.0, Raw moisture: 83, Watered: no
Time: 2026-03-18 18:00:01.504978, Current moisture: 2.3, Raw moisture: 3, Watered: yes
Time: 2026-03-18 19:00:01.859365, Current moisture: 12.0, Raw moisture: 103, Watered: no
Time: 2026-03-18 20:00:01.229041, Current moisture: 8.9, Raw moisture: 18, Watered: no
Time: 2026-03-18 21:00:01.602368, Current moisture: 12.0, Raw moisture: 89, Watered: no
Time: 2026-03-18 22:00:01.972794, Current moisture: 5.4, Raw moisture: 10, Watered: yes
Time: 2026-03-18 23:00:01.320796, Current moisture: 1.0, Raw moisture: 0, Watered: yes
Time: 2026-03-19 00:00:01.666123, Current moisture: 1.9, Raw moisture: 2, Watered: yes
Time: 2026-03-19 01:00:02.016337, Current moisture: 12.0, Raw moisture: 90, Watered: no
Time: 2026-03-19 02:00:01.387467, Current moisture: 1.4, Raw moisture: 1, Watered: yes
Time: 2026-03-19 03:00:01.738592, Current moisture: 12.0, Raw moisture: 95, Watered: no
Time: 2026-03-19 04:00:02.136030, Current moisture: 12.0, Raw moisture: 98, Watered: no
Time: 2026-03-19 05:00:01.508621, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-19 06:00:01.887212, Current moisture: 12.0, Raw moisture: 80, Watered: no
Time: 2026-03-19 07:00:01.301374, Current moisture: 12.0, Raw moisture: 94, Watered: no
Time: 2026-03-19 08:00:01.613352, Current moisture: 12.0, Raw moisture: 98, Watered: no
Time: 2026-03-19 09:00:01.984434, Current moisture: 6.7, Raw moisture: 13, Watered: yes
Time: 2026-03-19 09:58:21.554966, Current moisture: 12.0, Raw moisture: 75, Watered: no
Time: 2026-03-19 10:00:01.319840, Current moisture: 12.0, Raw moisture: 8, Watered: no
Time: 2026-03-19 10:00:56.102173, Current moisture: 12.0, Raw moisture: 82, Watered: no
Time: 2026-03-19 11:00:01.285453, Current moisture: 12.0, Raw moisture: 105, Watered: no
