Time: 2026-03-18 14:45:02.156531, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-18 15:00:01.473643, Current moisture: 12.0, Raw moisture: 91, Watered: no
Time: 2026-03-18 15:15:01.818802, Current moisture: 2.3, Raw moisture: 3, Watered: yes
Time: 2026-03-18 15:30:02.166280, Current moisture: 1.9, Raw moisture: 2, Watered: yes
Time: 2026-03-18 15:45:01.482812, Current moisture: 2.8, Raw moisture: 4, Watered: yes
Time: 2026-03-18 16:00:01.802356, Current moisture: 3.2, Raw moisture: 5, Watered: yes
Time: 2026-03-18 16:15:02.115371, Current moisture: 5.0, Raw moisture: 9, Watered: yes
Time: 2026-03-18 16:30:01.465866, Current moisture: 12.0, Raw moisture: 76, Watered: no
Time: 2026-03-18 16:45:01.806407, Current moisture: 12.0, Raw moisture: 51, Watered: no
Time: 2026-03-18 17:00:02.140483, Current moisture: 12.0, Raw moisture: 83, Watered: no
Time: 2026-03-18 18:00:01.504978, Current moisture: 2.3, Raw moisture: 3, Watered: yes
Time: 2026-03-18 19:00:01.859365, Current moisture: 12.0, Raw moisture: 103, Watered: no
Time: 2026-03-18 20:00:01.229041, Current moisture: 8.9, Raw moisture: 18, Watered: no
Time: 2026-03-18 21:00:01.602368, Current moisture: 12.0, Raw moisture: 89, Watered: no
Time: 2026-03-18 22:00:01.972794, Current moisture: 5.4, Raw moisture: 10, Watered: yes
Time: 2026-03-18 23:00:01.320796, Current moisture: 1.0, Raw moisture: 0, Watered: yes
Time: 2026-03-19 00:00:01.666123, Current moisture: 1.9, Raw moisture: 2, Watered: yes
Time: 2026-03-19 01:00:02.016337, Current moisture: 12.0, Raw moisture: 90, Watered: no
Time: 2026-03-19 02:00:01.387467, Current moisture: 1.4, Raw moisture: 1, Watered: yes
Time: 2026-03-19 03:00:01.738592, Current moisture: 12.0, Raw moisture: 95, Watered: no
Time: 2026-03-19 04:00:02.136030, Current moisture: 12.0, Raw moisture: 98, Watered: no
Time: 2026-03-19 05:00:01.508621, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-19 06:00:01.887212, Current moisture: 12.0, Raw moisture: 80, Watered: no
Time: 2026-03-19 07:00:01.301374, Current moisture: 12.0, Raw moisture: 94, Watered: no
Time: 2026-03-19 08:00:01.613352, Current moisture: 12.0, Raw moisture: 98, Watered: no
Time: 2026-03-19 09:00:01.984434, Current moisture: 6.7, Raw moisture: 13, Watered: yes
Time: 2026-03-19 09:58:21.554966, Current moisture: 12.0, Raw moisture: 75, Watered: no
Time: 2026-03-19 10:00:01.319840, Current moisture: 12.0, Raw moisture: 8, Watered: no
Time: 2026-03-19 10:00:56.102173, Current moisture: 12.0, Raw moisture: 82, Watered: no
Time: 2026-03-19 11:00:01.285453, Current moisture: 12.0, Raw moisture: 105, Watered: no
Time: 2026-03-19 12:00:01.528035, Current moisture: 12.0, Raw moisture: 28, Watered: no
Time: 2026-03-19 13:00:01.744389, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-19 14:00:01.976009, Current moisture: 11.1, Raw moisture: 29, Watered: no
Time: 2026-03-19 15:00:02.154128, Current moisture: 12.0, Raw moisture: 7, Watered: no
Time: 2026-03-19 16:00:01.394942, Current moisture: 12.0, Raw moisture: 7, Watered: no
Time: 2026-03-19 17:00:01.623125, Current moisture: 12.0, Raw moisture: 13, Watered: no
Time: 2026-03-19 18:00:01.870315, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-19 19:00:02.114015, Current moisture: 12.0, Raw moisture: 23, Watered: no
Time: 2026-03-19 20:00:01.351831, Current moisture: 12.0, Raw moisture: 31, Watered: no
Time: 2026-03-19 21:00:01.598284, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-19 22:00:01.806385, Current moisture: 9.8, Raw moisture: 3, Watered: no
Time: 2026-03-19 23:00:02.010448, Current moisture: 12.0, Raw moisture: 12, Watered: no
Time: 2026-03-20 00:00:01.227580, Current moisture: 11.7, Raw moisture: 25, Watered: no
Time: 2026-03-20 01:00:01.440945, Current moisture: 12.0, Raw moisture: 6, Watered: no
Time: 2026-03-20 02:00:01.660475, Current moisture: 10.0, Raw moisture: 26, Watered: no
Time: 2026-03-20 03:00:01.891658, Current moisture: 12.0, Raw moisture: 22, Watered: no
Time: 2026-03-20 04:00:02.142021, Current moisture: 12.0, Raw moisture: 18, Watered: no
Time: 2026-03-20 05:00:01.388257, Current moisture: 11.5, Raw moisture: 43, Watered: no
Time: 2026-03-20 06:00:01.599246, Current moisture: 12.0, Raw moisture: 101, Watered: no
Time: 2026-03-20 07:00:01.868614, Current moisture: 12.0, Raw moisture: 75, Watered: no
Time: 2026-03-20 08:00:01.923549, Current moisture: 12.0, Raw moisture: 23, Watered: no
Time: 2026-03-20 09:00:02.160733, Current moisture: 11.8, Raw moisture: 9, Watered: no
Time: 2026-03-20 10:00:01.363162, Current moisture: 10.4, Raw moisture: 90, Watered: no
Time: 2026-03-20 11:00:01.567942, Current moisture: 8.8, Raw moisture: 99, Watered: no
Time: 2026-03-20 12:00:01.810545, Current moisture: 12.0, Raw moisture: 53, Watered: no
Time: 2026-03-20 13:00:01.977866, Current moisture: 12.0, Raw moisture: 79, Watered: no
Time: 2026-03-20 14:00:01.856980, Current moisture: 12.0, Raw moisture: 4, Watered: no
Time: 2026-03-20 15:00:02.071479, Current moisture: 12.0, Raw moisture: 1, Watered: no
Time: 2026-03-20 16:00:01.285909, Current moisture: 12.0, Raw moisture: 5, Watered: no
Time: 2026-03-20 17:00:01.492701, Current moisture: 12.0, Raw moisture: 16, Watered: no
Time: 2026-03-20 18:00:01.667789, Current moisture: 12.0, Raw moisture: 4, Watered: no
Time: 2026-03-20 19:00:01.862254, Current moisture: 12.0, Raw moisture: 3, Watered: no
Time: 2026-03-20 20:00:02.053224, Current moisture: 12.0, Raw moisture: 16, Watered: no
Time: 2026-03-20 21:00:01.253574, Current moisture: 9.8, Raw moisture: 28, Watered: no
Time: 2026-03-20 22:00:01.474324, Current moisture: 9.6, Raw moisture: 10, Watered: no
Time: 2026-03-20 23:00:01.675871, Current moisture: 8.3, Raw moisture: 30, Watered: no
Time: 2026-03-21 00:00:01.860318, Current moisture: 12.0, Raw moisture: 34, Watered: no
Time: 2026-03-21 01:00:02.061774, Current moisture: 12.0, Raw moisture: 28, Watered: no
Time: 2026-03-21 02:00:01.283084, Current moisture: 10.1, Raw moisture: 109, Watered: no
Time: 2026-03-21 03:00:01.498250, Current moisture: 11.2, Raw moisture: 110, Watered: no
Time: 2026-03-21 04:00:01.718442, Current moisture: 10.3, Raw moisture: 105, Watered: no
Time: 2026-03-21 05:00:01.914252, Current moisture: 8.5, Raw moisture: 4, Watered: no
