Time: 2026-03-19 10:13:57.850628, Current moisture: 12.0, Raw moisture: 55.09
Time: 2026-03-19 10:30:01.736041, Current moisture: 12.0, Raw moisture: 50.806666666666665
Time: 2026-03-19 10:45:02.013189, Current moisture: 12.0, Raw moisture: 46.416666666666664
Time: 2026-03-19 11:00:01.283854, Current moisture: 12.0, Raw moisture: 32.70333333333333
Time: 2026-03-19 11:15:01.660623, Current moisture: 12.0, Raw moisture: 60.11
Time: 2026-03-19 11:30:01.947083, Current moisture: 12.0, Raw moisture: 51.99
Time: 2026-03-19 11:45:01.223590, Current moisture: 12.0, Raw moisture: 51.57333333333333
Time: 2026-03-19 12:00:01.526333, Current moisture: 12.0, Raw moisture: 42.083333333333336
Time: 2026-03-19 12:15:01.896818, Current moisture: 12.0, Raw moisture: 55.46666666666667
Time: 2026-03-19 12:30:01.211365, Current moisture: 12.0, Raw moisture: 48.05
Time: 2026-03-19 12:45:01.469953, Current moisture: 12.0, Raw moisture: 49.47666666666667
Time: 2026-03-19 13:00:01.742716, Current moisture: 12.0, Raw moisture: 35.79
Time: 2026-03-19 13:15:02.113769, Current moisture: 12.0, Raw moisture: 47.843333333333334
Time: 2026-03-19 13:30:01.408747, Current moisture: 12.0, Raw moisture: 52.026666666666664
Time: 2026-03-19 13:45:01.681428, Current moisture: 12.0, Raw moisture: 53.35666666666667
Time: 2026-03-19 14:00:01.974352, Current moisture: 12.0, Raw moisture: 45.22666666666667
Time: 2026-03-19 14:15:01.325316, Current moisture: 12.0, Raw moisture: 44.96666666666667
Time: 2026-03-19 14:30:01.626224, Current moisture: 12.0, Raw moisture: 44.38
Time: 2026-03-19 14:45:01.885869, Current moisture: 12.0, Raw moisture: 55.33
Time: 2026-03-19 15:00:02.152483, Current moisture: 12.0, Raw moisture: 63.06333333333333
Time: 2026-03-19 15:15:01.522040, Current moisture: 12.0, Raw moisture: 57.42
Time: 2026-03-19 15:30:01.828159, Current moisture: 12.0, Raw moisture: 50.513333333333335
Time: 2026-03-19 15:45:02.097407, Current moisture: 12.0, Raw moisture: 59.05
Time: 2026-03-19 16:00:01.393320, Current moisture: 12.0, Raw moisture: 35.89666666666667
Time: 2026-03-19 16:15:01.761170, Current moisture: 12.0, Raw moisture: 56.153333333333336
Time: 2026-03-19 16:30:02.068588, Current moisture: 12.0, Raw moisture: 45.803333333333335
Time: 2026-03-19 16:45:01.337166, Current moisture: 12.0, Raw moisture: 48.86333333333334
Time: 2026-03-19 17:00:01.621503, Current moisture: 12.0, Raw moisture: 50.38666666666666
Time: 2026-03-19 17:15:01.991094, Current moisture: 12.0, Raw moisture: 55.33
Time: 2026-03-19 17:30:01.295651, Current moisture: 12.0, Raw moisture: 40.51
Time: 2026-03-19 17:45:01.581309, Current moisture: 12.0, Raw moisture: 59.35666666666667
Time: 2026-03-19 18:00:01.868391, Current moisture: 12.0, Raw moisture: 43.483333333333334
Time: 2026-03-19 18:15:01.238527, Current moisture: 12.0, Raw moisture: 53.58
Time: 2026-03-19 18:30:01.540024, Current moisture: 12.0, Raw moisture: 54.77333333333333
Time: 2026-03-19 18:45:01.821757, Current moisture: 12.0, Raw moisture: 55.72666666666667
Time: 2026-03-19 19:00:02.112379, Current moisture: 12.0, Raw moisture: 35.39
Time: 2026-03-19 19:15:01.485307, Current moisture: 12.0, Raw moisture: 54.333333333333336
Time: 2026-03-19 19:30:01.781265, Current moisture: 12.0, Raw moisture: 52.45333333333333
